Designator,Mid X,Mid Y,Layer,Rotation
E$1,-2.62,100.97,Top,0.0
E$3,97.62,100.97,Top,0.0
E$5,-2.62, 6.35,Top,0.0
FD1, 0.64,19.69,Top,90.0
FD3,10.79, 0.64,Top,270.0
FD5,12.57,19.69,Top,90.0
FD7,22.73, 0.64,Top,270.0
FD9,24.51,19.69,Top,90.0
FD11,34.67, 0.64,Top,270.0
FD13,36.45,19.69,Top,90.0
FD15,46.61, 0.64,Top,270.0
FD17,48.39,19.69,Top,90.0
FD19,58.55, 0.64,Top,270.0
FD21,60.33,19.69,Top,90.0
FD23,70.48, 0.64,Top,270.0
FD25,72.26,19.69,Top,90.0
FD27,82.42, 0.64,Top,270.0
FD29,84.20,19.69,Top,90.0
FD31,94.36, 0.64,Top,270.0
FD33, 0.64,40.51,Top,90.0
FD35,10.79,21.46,Top,270.0
FD37,12.57,40.51,Top,90.0
FD39,22.73,21.46,Top,270.0
FD41,24.51,40.51,Top,90.0
FD43,34.67,21.46,Top,270.0
FD45,36.45,40.51,Top,90.0
FD47,46.61,21.46,Top,270.0
FD49,48.39,40.51,Top,90.0
FD51,58.55,21.46,Top,270.0
FD53,60.33,40.51,Top,90.0
FD55,70.48,21.46,Top,270.0
FD57,72.26,40.51,Top,90.0
FD59,82.42,21.46,Top,270.0
FD61,84.20,40.51,Top,90.0
FD63,94.36,21.46,Top,270.0
FD65, 0.64,61.34,Top,90.0
FD67,10.79,42.29,Top,270.0
FD69,12.57,61.34,Top,90.0
FD71,22.73,42.29,Top,270.0
FD73,24.51,61.34,Top,90.0
FD75,34.67,42.29,Top,270.0
FD77,36.45,61.34,Top,90.0
FD79,46.61,42.29,Top,270.0
FD81,48.39,61.34,Top,90.0
FD83,58.55,42.29,Top,270.0
FD85,60.33,61.34,Top,90.0
FD87,70.48,42.29,Top,270.0
FD89,72.26,61.34,Top,90.0
FD91,82.42,42.29,Top,270.0
FD93,84.20,61.34,Top,90.0
FD95,94.36,42.29,Top,270.0
FD97, 0.64,82.17,Top,90.0
FD99,10.79,63.12,Top,270.0
FD101,12.57,82.17,Top,90.0
FD103,22.73,63.12,Top,270.0
FD105,24.51,82.17,Top,90.0
FD107,34.67,63.12,Top,270.0
FD109,36.45,82.17,Top,90.0
FD111,46.61,63.12,Top,270.0
FD113,48.39,82.17,Top,90.0
FD115,58.55,63.12,Top,270.0
FD117,60.33,82.17,Top,90.0
FD119,70.48,63.12,Top,270.0
FD121,72.26,82.17,Top,90.0
FD123,82.42,63.12,Top,270.0
FD125,84.20,82.17,Top,90.0
FD127,94.36,63.12,Top,270.0
FD129, 0.64,103.00,Top,90.0
FD131,10.79,83.95,Top,270.0
FD133,12.57,103.00,Top,90.0
FD135,22.73,83.95,Top,270.0
FD137,24.51,103.00,Top,90.0
FD139,34.67,83.95,Top,270.0
FD141,36.45,103.00,Top,90.0
FD143,46.61,83.95,Top,270.0
FD145,48.39,103.00,Top,90.0
FD147,58.55,83.95,Top,270.0
FD149,60.33,103.00,Top,90.0
FD151,70.48,83.95,Top,270.0
FD153,72.26,103.00,Top,90.0
FD155,82.42,83.95,Top,270.0
FD157,84.20,103.00,Top,90.0
FD159,94.36,83.95,Top,270.0
